&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT    66    1  S    10 16 0  F                6712
DEFANT    66    1  S    10 16 1  F                6714
DEFANT    66    1  S    10 17 0  F                6670
DEFANT    66    1  S    10 17 1  F                6671
DEFANT    66    1  S    10 18 0  F                6742
DEFANT    66    1  S    10 18 1  F                7118
DEFANT    66    1  S    10 19 0  F                7204
DEFANT    66    1  S    10 19 1  F                6828
DEFANT    66    1  S    10 20 0  F                6829
DEFANT    66    1  S    10 20 1  F                6830
DEFANT    66    1  S    10 21 0  F                6743
DEFANT    66    1  S    10 21 1  F                6743
DEFANT    66    1  S    10 22 0  F                6364
DEFANT    66    1  S    10 22 1  F                6363
DEFANT    66    1  S    10 23 0  F                6203
DEFANT    66    1  S    10 23 1  F                6202
DEFANT    83    1  S    10  0 0  F                 974
DEFANT    83    1  S    10  0 1  F                 471
DEFANT    83    1  S    10  1 0  F                 470
DEFANT    83    1  S    10  1 1  F                 470
DEFANT    83    1  S    10  2 0  F                 470
DEFANT    83    1  S    10  2 1  F                 469
DEFANT    83    1  S    10  3 0  F                 469
DEFANT    83    1  S    10  3 1  F                 469
DEFANT    83    1  S    10  4 0  F                 468
DEFANT    83    1  S    10  4 1  F                 468
DEFANT    83    1  S    10  5 0  F                 467
DEFANT    83    1  S    10  5 1  F                 467
DEFANT    83    1  S    10  6 0  F                 467
DEFANT    83    1  S    10  6 1  F                 466
DEFANT    83    1  S    10  7 0  F                 200
DEFANT    83    1  S    10  7 1  F                 200
DEFANT    83    1  S    10  8 0  F                 200
DEFANT    83    1  S    10  8 1  F                 632
DEFANT    83    1  S    10  9 0  F                 331
DEFANT    83    1  S    10  9 1  F                 331
DEFANT    83    1  S    10 10 0  F                 331
DEFANT    83    1  S    10 10 1  F                 331
DEFANT    83    1  S    10 11 0  F                 331
DEFANT    83    1  S    10 11 1  F                 331
