***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________


 
Relatorio dos subsistemas 
 
  
OBS.:
1) A geracao de Itaipu injetada, no subsistema Sudeste (SE), inclui a geracao para atender a carga da ANDE.
2) Intercambio IV-SE nao corresponde a recebimento do SE pois Itaipu(60hz) ja se encontra no SE.
  
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
      ;        ;      ;    Cmo     ;   Demanda  ;   Perdas   ;   GpQusi   ;  GfixBar   ;  Grenova   ;  SomatGH   ;  SomatGT   ; ConsEleva  ;  Import.   ;  Export.   ; CortCarg.  ;   Saldo    ;Recebimento ; SomaGTMin  ; SomatGTMax ;   Earm     ;
 IPER ;  Pat   ; Sist ;   $/MWH    ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;    MWH     ;
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
  32  ;   LEVE ; SE   ;     276.80 ;   43510.36 ;     -      ;       0.00 ;       0.00 ;   15340.00 ;   15411.16 ;    5243.60 ;      61.69 ;    5372.97 ;    3014.68 ;       0.00 ;   -7946.50 ;    7946.50 ;    4621.00 ;   12837.46 ;   99544.94 ;
  32  ;   LEVE ; S    ;     236.03 ;   11614.70 ;     -      ;       0.00 ;       0.00 ;    5604.00 ;    9165.54 ;     978.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4132.84 ;   -4132.84 ;     925.00 ;    2184.57 ;   18992.82 ;
  32  ;   LEVE ; NE   ;     269.54 ;   13279.43 ;     -      ;       0.00 ;       0.00 ;   18372.00 ;    2644.26 ;    1639.50 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    9376.33 ;   -9376.33 ;       3.00 ;    5032.53 ;   26377.56 ;
  32  ;   LEVE ; N    ;     270.74 ;    8837.35 ;     -      ;       0.00 ;       0.00 ;    1695.00 ;    2035.68 ;    1902.31 ;       0.00 ;       0.00 ;    2358.29 ;       0.00 ;   -5562.66 ;    5562.66 ;    1090.00 ;    3603.55 ;   13419.23 ;
  32  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  33  ;   LEVE ; SE   ;     291.48 ;   43808.06 ;     -      ;       0.00 ;       0.00 ;   13164.00 ;   16910.68 ;    5243.60 ;      61.69 ;    4953.50 ;    3646.96 ;       0.00 ;   -9972.43 ;    9972.43 ;    4621.00 ;   12837.46 ;   99536.00 ;
  33  ;   LEVE ; S    ;     256.48 ;   11922.05 ;     -      ;       0.00 ;       0.00 ;    5133.00 ;   11339.59 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5548.54 ;   -5548.54 ;     930.00 ;    2184.57 ;   18985.71 ;
  33  ;   LEVE ; NE   ;     285.31 ;   13533.61 ;     -      ;       0.00 ;       0.00 ;   17702.00 ;    2755.50 ;    1677.10 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    8601.00 ;   -8601.00 ;       3.00 ;    5032.53 ;   26373.30 ;
  33  ;   LEVE ; N    ;     286.24 ;    8749.33 ;     -      ;       0.00 ;       0.00 ;    1441.00 ;    2525.17 ;    1912.60 ;       0.00 ;       0.00 ;    1306.54 ;       0.00 ;   -4177.10 ;    4177.10 ;    1090.00 ;    3603.55 ;   13418.91 ;
  33  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  34  ;   LEVE ; SE   ;     302.50 ;   44397.00 ;     -      ;       0.00 ;       0.00 ;   10762.00 ;   19540.03 ;    5243.60 ;      61.69 ;    5276.88 ;    3744.31 ;       0.00 ;  -10108.00 ;   10108.00 ;    4621.00 ;   12837.46 ;   99514.61 ;
  34  ;   LEVE ; S    ;     271.89 ;   12363.94 ;     -      ;       0.00 ;       0.00 ;    4585.00 ;   12598.65 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5817.70 ;   -5817.70 ;     930.00 ;    2184.57 ;   18977.68 ;
  34  ;   LEVE ; NE   ;     297.15 ;   14002.20 ;     -      ;       0.00 ;       0.00 ;   17033.00 ;    2681.89 ;    1678.38 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    7391.07 ;   -7391.07 ;       3.00 ;    5032.53 ;   26368.31 ;
  34  ;   LEVE ; N    ;     301.28 ;    8723.45 ;     -      ;       0.00 ;       0.00 ;    1180.00 ;    3991.80 ;    1983.43 ;       0.00 ;       0.00 ;    1532.57 ;       0.00 ;   -3100.78 ;    3100.78 ;    1090.00 ;    3603.55 ;   13417.32 ;
  34  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  35  ;  MEDIA ; SE   ;     313.50 ;   45354.52 ;     -      ;       0.00 ;       0.00 ;    8042.00 ;   23928.18 ;    5243.60 ;      23.64 ;    6386.12 ;    3385.93 ;       0.00 ;   -8389.19 ;    8389.19 ;    4621.00 ;   12837.46 ;   99473.64 ;
  35  ;  MEDIA ; S    ;     285.26 ;   12939.70 ;     -      ;       0.00 ;       0.00 ;    4048.00 ;   12979.98 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5086.28 ;   -5086.28 ;     930.00 ;    2184.57 ;   18971.44 ;
  35  ;  MEDIA ; NE   ;     308.10 ;   14325.33 ;     -      ;       0.00 ;       0.00 ;   16311.00 ;    2679.28 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    6343.83 ;   -6343.83 ;       3.00 ;    5032.53 ;   26363.30 ;
  35  ;  MEDIA ; N    ;     312.83 ;    8603.40 ;     -      ;       0.00 ;       0.00 ;     915.00 ;    5656.04 ;    1991.63 ;       0.00 ;       0.00 ;    3000.19 ;       0.00 ;   -3040.92 ;    3040.92 ;    1090.00 ;    3603.55 ;   13414.23 ;
  35  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  36  ;  MEDIA ; SE   ;     321.79 ;   47026.39 ;     -      ;       0.00 ;       0.00 ;    5924.00 ;   27396.77 ;    5243.60 ;      23.64 ;    6238.87 ;    3271.01 ;       0.00 ;   -8742.81 ;    8742.81 ;    4621.00 ;   12837.46 ;   99417.27 ;
  36  ;  MEDIA ; S    ;     296.04 ;   13497.83 ;     -      ;       0.00 ;       0.00 ;    3585.00 ;   13294.37 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4379.54 ;   -4379.54 ;     930.00 ;    2184.57 ;   18966.05 ;
  36  ;  MEDIA ; NE   ;     316.95 ;   15177.59 ;     -      ;       0.00 ;       0.00 ;   16749.00 ;    2751.81 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    6002.10 ;   -6002.10 ;       3.00 ;    5032.53 ;   26358.35 ;
  36  ;  MEDIA ; N    ;     321.38 ;    8558.57 ;     -      ;       0.00 ;       0.00 ;     754.00 ;    7139.19 ;    1994.40 ;       0.00 ;       0.00 ;    2967.86 ;       0.00 ;   -1638.84 ;    1638.84 ;    1090.00 ;    3605.55 ;   13409.23 ;
  36  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  37  ;  MEDIA ; SE   ;     331.05 ;   49329.53 ;     -      ;       0.00 ;       0.00 ;    5208.00 ;   29056.82 ;    5243.60 ;      23.64 ;    6619.30 ;    3124.84 ;       0.00 ;   -9575.29 ;    9575.29 ;    4621.00 ;   12837.46 ;   99352.45 ;
  37  ;  MEDIA ; S    ;     309.70 ;   14063.89 ;     -      ;       0.00 ;       0.00 ;    3126.00 ;   13476.36 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3536.47 ;   -3536.47 ;     930.00 ;    2184.57 ;   18961.19 ;
  37  ;  MEDIA ; NE   ;     327.15 ;   15652.43 ;     -      ;       0.00 ;       0.00 ;   17633.00 ;    3039.43 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    6698.88 ;   -6698.88 ;       3.00 ;    5032.53 ;   26353.24 ;
  37  ;  MEDIA ; N    ;     331.07 ;    8648.24 ;     -      ;       0.00 ;       0.00 ;     641.00 ;    8844.20 ;    1997.44 ;       0.00 ;       0.00 ;    3494.46 ;       0.00 ;    -660.06 ;     660.06 ;    1090.00 ;    3618.55 ;   13402.67 ;
  37  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  38  ;  MEDIA ; SE   ;     331.03 ;   50771.21 ;     -      ;       0.00 ;       0.00 ;    5106.00 ;   29249.12 ;    5243.60 ;      23.64 ;    3972.88 ;    3026.77 ;       0.00 ;  -13475.02 ;   13475.02 ;    4621.00 ;   12837.46 ;   99288.32 ;
  38  ;  MEDIA ; S    ;     309.95 ;   14807.43 ;     -      ;       0.00 ;       0.00 ;    3081.00 ;   13617.40 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    2888.97 ;   -2888.97 ;     930.00 ;    2184.57 ;   18956.69 ;
  38  ;  MEDIA ; NE   ;     324.02 ;   15827.29 ;     -      ;       0.00 ;       0.00 ;   18575.00 ;    4223.39 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    8649.98 ;   -8649.98 ;       3.00 ;    5032.53 ;   26348.59 ;
  38  ;  MEDIA ; N    ;     331.41 ;    8842.51 ;     -      ;       0.00 ;       0.00 ;     635.00 ;    9092.76 ;    1996.93 ;       0.00 ;       0.00 ;     946.11 ;       0.00 ;    1936.08 ;   -1936.08 ;    1090.00 ;    3618.55 ;   13396.10 ;
  38  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  39  ;  MEDIA ; SE   ;     326.17 ;   50265.16 ;     -      ;       0.00 ;       0.00 ;    5112.00 ;   28343.29 ;    5243.60 ;      23.64 ;    4159.66 ;    2833.37 ;       0.00 ;  -13488.62 ;   13488.62 ;    4621.00 ;   12837.46 ;   99232.40 ;
  39  ;  MEDIA ; S    ;     302.66 ;   14932.53 ;     -      ;       0.00 ;       0.00 ;    3113.00 ;   13598.42 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    2776.88 ;   -2776.88 ;     930.00 ;    2184.57 ;   18952.69 ;
  39  ;  MEDIA ; NE   ;     318.94 ;   15616.48 ;     -      ;       0.00 ;       0.00 ;   19373.00 ;    3931.15 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    9366.55 ;   -9366.55 ;       3.00 ;    5032.53 ;   26345.39 ;
  39  ;  MEDIA ; N    ;     326.54 ;    8996.18 ;     -      ;       0.00 ;       0.00 ;     641.00 ;    9023.45 ;    2003.21 ;       0.00 ;       0.00 ;    1326.29 ;       0.00 ;    1345.19 ;   -1345.19 ;    1092.00 ;    3618.55 ;   13389.83 ;
  39  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  40  ;  MEDIA ; SE   ;     322.12 ;   49470.93 ;     -      ;       0.00 ;       0.00 ;    5144.00 ;   27680.65 ;    5243.60 ;      23.64 ;    3706.47 ;    2919.16 ;       0.00 ;  -13864.01 ;   13864.01 ;    4621.00 ;   12837.46 ;   99184.23 ;
  40  ;  MEDIA ; S    ;     296.21 ;   14538.82 ;     -      ;       0.00 ;       0.00 ;    3127.00 ;   13636.80 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3222.99 ;   -3222.99 ;     930.00 ;    2184.57 ;   18948.46 ;
  40  ;  MEDIA ; NE   ;     313.91 ;   15472.60 ;     -      ;       0.00 ;       0.00 ;   20172.00 ;    3522.33 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    9900.61 ;   -9900.61 ;       3.00 ;    5032.53 ;   26342.74 ;
  40  ;  MEDIA ; N    ;     322.87 ;    9026.33 ;     -      ;       0.00 ;       0.00 ;     650.00 ;    7897.24 ;    2006.81 ;       0.00 ;       0.00 ;     787.32 ;       0.00 ;     740.41 ;    -740.41 ;    1092.00 ;    3618.55 ;   13384.89 ;
  40  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  41  ;  MEDIA ; SE   ;     319.67 ;   48680.70 ;     -      ;       0.00 ;       0.00 ;    5169.00 ;   25980.29 ;    5243.60 ;      23.64 ;    4004.00 ;    3123.06 ;       0.00 ;  -14655.51 ;   14655.51 ;    4621.00 ;   12837.46 ;   99148.50 ;
  41  ;  MEDIA ; S    ;     292.78 ;   13930.65 ;     -      ;       0.00 ;       0.00 ;    3123.00 ;   13596.41 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3786.77 ;   -3786.77 ;     930.00 ;    2184.57 ;   18944.30 ;
  41  ;  MEDIA ; NE   ;     309.80 ;   15373.27 ;     -      ;       0.00 ;       0.00 ;   20830.00 ;    3310.04 ;    1678.38 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   10445.14 ;  -10445.14 ;       3.00 ;    5032.53 ;   26340.15 ;
  41  ;  MEDIA ; N    ;     319.99 ;    9015.36 ;     -      ;       0.00 ;       0.00 ;     660.00 ;    7642.46 ;    2017.45 ;       0.00 ;       0.00 ;     880.94 ;       0.00 ;     423.61 ;    -423.61 ;    1095.00 ;    3628.55 ;   13380.43 ;
  41  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  42  ;  MEDIA ; SE   ;     316.28 ;   47903.69 ;     -      ;       0.00 ;       0.00 ;    5178.00 ;   24684.31 ;    5243.60 ;      23.64 ;    4201.76 ;    3239.78 ;       0.00 ;  -15084.45 ;   15084.45 ;    4621.00 ;   12837.46 ;   99126.53 ;
  42  ;  MEDIA ; S    ;     287.93 ;   13448.02 ;     -      ;       0.00 ;       0.00 ;    3123.00 ;   13545.05 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4218.04 ;   -4218.04 ;     930.00 ;    2184.57 ;   18940.30 ;
  42  ;  MEDIA ; NE   ;     305.91 ;   15336.18 ;     -      ;       0.00 ;       0.00 ;   21315.00 ;    3189.20 ;    1677.38 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   10845.40 ;  -10845.40 ;       3.00 ;    5032.53 ;   26337.56 ;
  42  ;  MEDIA ; N    ;     316.49 ;    9078.38 ;     -      ;       0.00 ;       0.00 ;     667.00 ;    7376.23 ;    2018.15 ;       0.00 ;       0.00 ;     961.98 ;       0.00 ;      21.01 ;     -21.01 ;    1095.00 ;    3628.55 ;   13376.61 ;
  42  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  43  ;  MEDIA ; SE   ;     314.29 ;   46770.69 ;     -      ;       0.00 ;       0.00 ;    5184.00 ;   23710.77 ;    5243.60 ;      23.64 ;    3684.34 ;    3284.34 ;       0.00 ;  -15480.96 ;   15480.96 ;    4621.00 ;   12837.46 ;   99108.90 ;
  43  ;  MEDIA ; S    ;     285.17 ;   13088.28 ;     -      ;       0.00 ;       0.00 ;    3113.00 ;   13499.86 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4522.58 ;   -4522.58 ;     930.00 ;    2184.57 ;   18936.49 ;
  43  ;  MEDIA ; NE   ;     302.21 ;   15374.07 ;     -      ;       0.00 ;       0.00 ;   21669.00 ;    3186.99 ;    1676.38 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11158.30 ;  -11158.30 ;       3.00 ;    5032.53 ;   26334.35 ;
  43  ;  MEDIA ; N    ;     314.87 ;    9063.33 ;     -      ;       0.00 ;       0.00 ;     671.00 ;    6568.19 ;    2024.22 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;    -199.91 ;     199.91 ;    1095.00 ;    3636.55 ;   13373.76 ;
  43  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  44  ;  MEDIA ; SE   ;     310.61 ;   45658.01 ;     -      ;       0.00 ;       0.00 ;    5190.00 ;   22308.12 ;    5243.60 ;      23.64 ;    3571.33 ;    3171.33 ;       0.00 ;  -15764.93 ;   15764.93 ;    4621.00 ;   12837.46 ;   99097.76 ;
  44  ;  MEDIA ; S    ;     279.72 ;   12571.84 ;     -      ;       0.00 ;       0.00 ;    3084.00 ;   13328.46 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4838.63 ;   -4838.63 ;     930.00 ;    2184.57 ;   18933.30 ;
  44  ;  MEDIA ; NE   ;     302.38 ;   15431.49 ;     -      ;       0.00 ;       0.00 ;   21896.00 ;    3225.10 ;    1675.38 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11364.99 ;  -11364.99 ;       3.00 ;    5032.53 ;   26333.18 ;
  44  ;  MEDIA ; N    ;     314.81 ;    9110.68 ;     -      ;       0.00 ;       0.00 ;     673.00 ;    6386.89 ;    2012.11 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;    -438.68 ;     438.68 ;    1095.00 ;    3636.55 ;   13371.19 ;
  44  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  45  ;  MEDIA ; SE   ;     309.86 ;   44670.10 ;     -      ;       0.00 ;       0.00 ;    5189.00 ;   22354.09 ;    5243.60 ;      23.64 ;    3760.26 ;    3360.26 ;       0.00 ;  -14732.05 ;   14732.05 ;    4621.00 ;   12837.46 ;   99088.52 ;
  45  ;  MEDIA ; S    ;     279.24 ;   12172.81 ;     -      ;       0.00 ;       0.00 ;    3032.00 ;   13327.59 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5184.79 ;   -5184.79 ;     930.00 ;    2184.57 ;   18929.79 ;
  45  ;  MEDIA ; NE   ;     302.44 ;   15262.68 ;     -      ;       0.00 ;       0.00 ;   22030.00 ;    2572.05 ;    1674.38 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11013.75 ;  -11013.75 ;       3.00 ;    5032.53 ;   26332.61 ;
  45  ;  MEDIA ; N    ;     314.85 ;    9093.78 ;     -      ;       0.00 ;       0.00 ;     674.00 ;    5341.15 ;    2012.15 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -1466.48 ;    1466.48 ;    1095.00 ;    3636.55 ;   13369.13 ;
  45  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  46  ;  MEDIA ; SE   ;     308.84 ;   43906.35 ;     -      ;       0.00 ;       0.00 ;    5195.00 ;   22067.32 ;    5243.60 ;      23.64 ;    3799.85 ;    3399.85 ;       0.00 ;  -14249.08 ;   14249.08 ;    4621.00 ;   12837.46 ;   99083.48 ;
  46  ;  MEDIA ; S    ;     277.93 ;   11733.53 ;     -      ;       0.00 ;       0.00 ;    2975.00 ;   13106.86 ;     983.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5331.33 ;   -5331.33 ;     930.00 ;    2184.57 ;   18926.16 ;
  46  ;  MEDIA ; NE   ;     301.71 ;   15209.79 ;     -      ;       0.00 ;       0.00 ;   22099.00 ;    2393.17 ;    1673.10 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   10955.47 ;  -10955.47 ;       3.00 ;    5032.53 ;   26331.41 ;
  46  ;  MEDIA ; N    ;     312.99 ;    9139.73 ;     -      ;       0.00 ;       0.00 ;     675.00 ;    4813.42 ;    2013.59 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2037.73 ;    2037.73 ;    1095.00 ;    3636.55 ;   13367.48 ;
  46  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  47  ;  MEDIA ; SE   ;     306.90 ;   42723.75 ;     -      ;       0.00 ;       0.00 ;    5204.00 ;   20607.17 ;    5243.60 ;      68.62 ;    3742.58 ;    3342.58 ;       0.00 ;  -14562.60 ;   14562.60 ;    4621.00 ;   12837.46 ;   99090.48 ;
  47  ;  MEDIA ; S    ;     275.23 ;   11404.68 ;     -      ;       0.00 ;       0.00 ;    2913.00 ;   13022.14 ;     968.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5498.47 ;   -5498.47 ;     930.00 ;    2184.57 ;   18919.96 ;
  47  ;  MEDIA ; NE   ;     300.31 ;   15022.95 ;     -      ;       0.00 ;       0.00 ;   22095.00 ;    2470.03 ;    1635.50 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11177.57 ;  -11177.57 ;       3.00 ;    5032.53 ;   26329.65 ;
  47  ;  MEDIA ; N    ;     309.36 ;    9130.65 ;     -      ;       0.00 ;       0.00 ;     675.00 ;    4729.31 ;    2012.90 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2113.44 ;    2113.44 ;    1095.00 ;    3636.55 ;   13365.95 ;
  47  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  48  ;  MEDIA ; SE   ;     304.52 ;   41533.35 ;     -      ;       0.00 ;       0.00 ;    5201.00 ;   19551.72 ;    5235.60 ;      76.53 ;    3660.26 ;    3260.26 ;       0.00 ;  -14446.56 ;   14446.56 ;    4621.00 ;   12837.46 ;   99103.20 ;
  48  ;  MEDIA ; S    ;     272.13 ;   10915.37 ;     -      ;       0.00 ;       0.00 ;    2840.00 ;   12620.58 ;     953.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5498.21 ;   -5498.21 ;     930.00 ;    2184.57 ;   18913.71 ;
  48  ;  MEDIA ; NE   ;     298.60 ;   14814.18 ;     -      ;       0.00 ;       0.00 ;   22018.00 ;    2442.92 ;    1600.10 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11246.84 ;  -11246.84 ;       3.00 ;    5032.53 ;   26327.78 ;
  48  ;  MEDIA ; N    ;     305.01 ;    9136.68 ;     -      ;       0.00 ;       0.00 ;     674.00 ;    4561.89 ;    2002.30 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2298.49 ;    2298.49 ;    1095.00 ;    3636.55 ;   13364.46 ;
  48  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  49  ;   LEVE ; SE   ;       0.00 ;   36980.00 ;     -      ;       0.00 ;       0.00 ;   13217.44 ;   14104.14 ;    5205.60 ;      18.20 ;    1553.00 ;    1153.00 ;       0.00 ;   -6798.52 ;    6798.52 ;    4621.00 ;   12837.46 ;   99327.42 ;
  49  ;   LEVE ; S    ;       0.00 ;    9542.00 ;     -      ;       0.00 ;       0.00 ;    3033.85 ;    5576.55 ;     931.60 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     930.00 ;    2184.57 ;   18436.68 ;
  49  ;   LEVE ; NE   ;       0.00 ;   12337.00 ;     -      ;       0.00 ;       0.00 ;   19459.74 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   10347.44 ;  -10347.44 ;       3.00 ;    5032.85 ;   26299.14 ;
  49  ;   LEVE ; N    ;       0.01 ;    8305.00 ;     -      ;       0.00 ;       0.00 ;    1491.79 ;    2032.98 ;    1631.30 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -3548.93 ;    3548.93 ;    1095.00 ;    3636.55 ;   13367.18 ;
  49  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  50  ;  MEDIA ; SE   ;     309.58 ;   45614.00 ;     -      ;       0.00 ;       0.00 ;    5404.57 ;   23962.15 ;    5243.60 ;      11.25 ;    1553.00 ;    1153.00 ;       0.00 ;  -13839.94 ;   13839.94 ;    4621.00 ;   12837.46 ;   98858.97 ;
  50  ;  MEDIA ; S    ;     309.57 ;   12361.00 ;     -      ;       0.00 ;       0.00 ;    2351.00 ;   13763.91 ;     998.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4751.91 ;   -4751.91 ;     930.00 ;    2184.57 ;   18438.67 ;
