***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / submercado / hora

------;-------;------;---------------;---------------;
 IPER ;  Pat  ; SIST ;     Cmarg     ;  PI_Demanda   ;
------;-------;------;---------------;---------------;
   25 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   25 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   25 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   25 ;  LEVE ; N    ;          3.19 ;          0.01 ;
   25 ;  LEVE ; FC   ;          0.00 ;          0.00 ;
   26 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   26 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   26 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   26 ;  LEVE ; N    ;          0.01 ;          0.01 ;
   26 ;  LEVE ; FC   ;          0.00 ;          0.00 ;
   27 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   27 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   27 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   27 ;  LEVE ; N    ;          3.16 ;          0.01 ;
   27 ;  LEVE ; FC   ;          0.00 ;          0.00 ;
   28 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   28 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   28 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   28 ;  LEVE ; N    ;          3.08 ;          0.01 ;
   28 ;  LEVE ; FC   ;          0.00 ;          0.00 ;
   29 ;  LEVE ; SE   ;          0.01 ;          0.01 ;
   29 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   29 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   29 ;  LEVE ; N    ;          0.01 ;          0.01 ;
   29 ;  LEVE ; FC   ;          0.00 ;          0.01 ;
   30 ;  LEVE ; SE   ;          0.01 ;          0.01 ;
   30 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   30 ;  LEVE ; NE   ;          0.01 ;          0.01 ;
   30 ;  LEVE ; N    ;          3.10 ;          0.01 ;
   30 ;  LEVE ; FC   ;          0.00 ;          0.01 ;
   31 ;  LEVE ; SE   ;        117.44 ;        100.45 ;
   31 ;  LEVE ; S    ;         10.37 ;        100.44 ;
   31 ;  LEVE ; NE   ;         98.56 ;        100.45 ;
   31 ;  LEVE ; N    ;        103.08 ;        100.46 ;
   31 ;  LEVE ; FC   ;          0.00 ;        100.45 ;
   32 ;  LEVE ; SE   ;        276.80 ;        270.31 ;
   32 ;  LEVE ; S    ;        236.03 ;        270.30 ;
   32 ;  LEVE ; NE   ;        269.54 ;        270.30 ;
   32 ;  LEVE ; N    ;        270.74 ;        270.31 ;
   32 ;  LEVE ; FC   ;          0.00 ;        270.31 ;
   33 ;  LEVE ; SE   ;        291.48 ;        285.93 ;
   33 ;  LEVE ; S    ;        256.48 ;        285.92 ;
   33 ;  LEVE ; NE   ;        285.31 ;        285.93 ;
   33 ;  LEVE ; N    ;        286.24 ;        285.94 ;
   33 ;  LEVE ; FC   ;          0.00 ;        285.93 ;
   34 ;  LEVE ; SE   ;        302.50 ;        297.67 ;
   34 ;  LEVE ; S    ;        271.89 ;        297.66 ;
   34 ;  LEVE ; NE   ;        297.15 ;        297.67 ;
   34 ;  LEVE ; N    ;        301.28 ;        297.68 ;
   34 ;  LEVE ; FC   ;          0.00 ;        297.67 ;
   35 ; MEDIA ; SE   ;        313.50 ;        309.31 ;
   35 ; MEDIA ; S    ;        285.26 ;        309.30 ;
   35 ; MEDIA ; NE   ;        308.10 ;        309.30 ;
   35 ; MEDIA ; N    ;        312.83 ;        309.31 ;
   35 ; MEDIA ; FC   ;          0.00 ;        309.31 ;
   36 ; MEDIA ; SE   ;        321.79 ;        318.07 ;
   36 ; MEDIA ; S    ;        296.04 ;        318.06 ;
   36 ; MEDIA ; NE   ;        316.95 ;        318.06 ;
   36 ; MEDIA ; N    ;        321.38 ;        318.07 ;
   36 ; MEDIA ; FC   ;          0.00 ;        318.07 ;
   37 ; MEDIA ; SE   ;        331.05 ;        328.10 ;
   37 ; MEDIA ; S    ;        309.70 ;        328.09 ;
   37 ; MEDIA ; NE   ;        327.15 ;        328.09 ;
   37 ; MEDIA ; N    ;        331.07 ;        328.10 ;
   37 ; MEDIA ; FC   ;          0.00 ;        328.10 ;
   38 ; MEDIA ; SE   ;        331.03 ;        328.06 ;
   38 ; MEDIA ; S    ;        309.95 ;        328.05 ;
   38 ; MEDIA ; NE   ;        324.02 ;        328.06 ;
   38 ; MEDIA ; N    ;        331.41 ;        328.05 ;
   38 ; MEDIA ; FC   ;          0.00 ;        328.06 ;
   39 ; MEDIA ; SE   ;        326.17 ;        322.87 ;
   39 ; MEDIA ; S    ;        302.66 ;        322.86 ;
   39 ; MEDIA ; NE   ;        318.94 ;        322.86 ;
   39 ; MEDIA ; N    ;        326.54 ;        322.86 ;
   39 ; MEDIA ; FC   ;          0.00 ;        322.86 ;
   40 ; MEDIA ; SE   ;        322.12 ;        318.30 ;
   40 ; MEDIA ; S    ;        296.21 ;        318.29 ;
   40 ; MEDIA ; NE   ;        313.91 ;        318.30 ;
   40 ; MEDIA ; N    ;        322.87 ;        318.29 ;
   40 ; MEDIA ; FC   ;          0.00 ;        318.30 ;
   41 ; MEDIA ; SE   ;        319.67 ;        315.83 ;
   41 ; MEDIA ; S    ;        292.78 ;        315.82 ;
   41 ; MEDIA ; NE   ;        309.80 ;        315.82 ;
   41 ; MEDIA ; N    ;        319.99 ;        315.82 ;
   41 ; MEDIA ; FC   ;          0.00 ;        315.82 ;
   42 ; MEDIA ; SE   ;        316.28 ;        312.22 ;
   42 ; MEDIA ; S    ;        287.93 ;        312.21 ;
   42 ; MEDIA ; NE   ;        305.91 ;        312.21 ;
   42 ; MEDIA ; N    ;        316.49 ;        312.21 ;
   42 ; MEDIA ; FC   ;          0.00 ;        312.21 ;
   43 ; MEDIA ; SE   ;        314.29 ;        310.14 ;
   43 ; MEDIA ; S    ;        285.17 ;        310.13 ;
   43 ; MEDIA ; NE   ;        302.21 ;        310.13 ;
   43 ; MEDIA ; N    ;        314.87 ;        310.14 ;
   43 ; MEDIA ; FC   ;          0.00 ;        310.14 ;
   44 ; MEDIA ; SE   ;        310.61 ;        306.16 ;
