NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
129 SIMPLICIO      1    14      F                  63
129 SIMPLICIO      1    16      F                  56
129 SIMPLICIO      1    17      F                  50
 20 BATALHA        1    11      F                  14
 20 BATALHA        1    13      F                  13
 20 BATALHA        1    14      F                  15
 20 BATALHA        1    15      F                  19
 20 BATALHA        1    16      F                  21
 20 BATALHA        1    17      F                  20
287 STO ANTONIO    1    11      F                  72
287 STO ANTONIO    1    12      F                  71
287 STO ANTONIO    1    14      F                  70
287 STO ANTONIO    1    15      F                  69
257 PEIXE ANGIC    1    11      F                  34
257 PEIXE ANGIC    1    13      F                  40
257 PEIXE ANGIC    1    14      F                  50
257 PEIXE ANGIC    1    15      F                  55
257 PEIXE ANGIC    1    17      F                  52
122 SANTA BRANCA   1    11      F                   5
122 SANTA BRANCA   1    13      F                   6
122 SANTA BRANCA   1    15      F                   5
124 LAJES          1    11      F                   2
130 ILHA POMBOS    1    11      F                  22
130 ILHA POMBOS    1    12      F                  23
130 ILHA POMBOS    1    13      F                  24
130 ILHA POMBOS    1    14      F                  26
130 ILHA POMBOS    1    16      F                  23
130 ILHA POMBOS    1    17      F                  20
185 BARRA BRAUNA   1    11      F                  40
185 BARRA BRAUNA   1    12      F                  43
185 BARRA BRAUNA   1    14      F                  46
185 BARRA BRAUNA   1    15      F                  56
185 BARRA BRAUNA   1    16      F                  59
185 BARRA BRAUNA   1    17      F                  52
131 NILO PECANHA   1    11      F                   0
133 P. PASSOS      1    11      F                   0
125 STA CECILIA    1    11      F                  18
125 STA CECILIA    1    13      F                  19
125 STA CECILIA    1    14      F                  20
125 STA CECILIA    1    15      F                  19
125 STA CECILIA    1    17      F                  18
180 TOCOS          1    11      F                   4
180 TOCOS          1    14      F                   5
180 TOCOS          1    15      F                   4
180 TOCOS          1    16      F                   3
181 SANTANA        1    11      F                   2
181 SANTANA        1    17      F                   1
182 VIGARIO        1    11      F                   0
147 FONTES AB      1    11      F                   0
146 FONTES C       1    11      F                   0
107 EDGARD SOUZA   1    11      F                  78
107 EDGARD SOUZA   1    12      F                  57
107 EDGARD SOUZA   1    13      F                  52
107 EDGARD SOUZA   1    14      F                  74
107 EDGARD SOUZA   1    15      F                  57
107 EDGARD SOUZA   1    16      F                  43
107 EDGARD SOUZA   1    17      F                  34
108 TRAICAO        1    11      F                   0
109 PEDREIRA       1    11      F                   0
117 GUARAPIRANGA   1    11      F                  13
117 GUARAPIRANGA   1    12      F                  10
117 GUARAPIRANGA   1    13      F                   9
117 GUARAPIRANGA   1    14      F                  13
117 GUARAPIRANGA   1    15      F                  10
117 GUARAPIRANGA   1    16      F                   7
117 GUARAPIRANGA   1    17      F                   6
118 BILLINGS       1    11      F                  16
118 BILLINGS       1    12      F                  12
118 BILLINGS       1    13      F                  11
118 BILLINGS       1    14      F                  15
118 BILLINGS       1    15      F                  12
118 BILLINGS       1    16      F                   9
118 BILLINGS       1    17      F                   7
119 HENRY BORDEN   1    11      F                   0
 32 CACH.DOURADA   1    11      F                  17
 32 CACH.DOURADA   1    12      F                  16
 32 CACH.DOURADA   1    14      F                  21
 32 CACH.DOURADA   1    16      F                  20
 32 CACH.DOURADA   1    17      F                  19
 11 VOLTA GRANDE   1    11      F                  17
 11 VOLTA GRANDE   1    12      F                  18
 11 VOLTA GRANDE   1    14      F                  19
 11 VOLTA GRANDE   1    15      F                  18
 11 VOLTA GRANDE   1    16      F                  17
135 P. ESTRELA     1    11      F                   0
139 CANDONGA       1    11      F                  38
139 CANDONGA       1    12      F                  40
139 CANDONGA       1    13      F                  44
139 CANDONGA       1    14      F                  50
139 CANDONGA       1    15      F                  59
139 CANDONGA       1    16      F                  71
139 CANDONGA       1    17      F                  70
262 SALTO          1    11      F                  59
262 SALTO          1    12      F                  60
262 SALTO          1    13      F                  62
262 SALTO          1    14      F                  63
 88 SAO ROQUE      1    11      F                 336
 88 SAO ROQUE      1    12      F                 304
 88 SAO ROQUE      1    13      F                 286
 88 SAO ROQUE      1    14      F                 385
 88 SAO ROQUE      1    15      F                 424
 88 SAO ROQUE      1    16      F                 379
 88 SAO ROQUE      1    17      F                 343
 89 GARIBALDI      1    11      F                  74
 89 GARIBALDI      1    12      F                  67
 89 GARIBALDI      1    13      F                  63
 89 GARIBALDI      1    14      F                  85
 89 GARIBALDI      1    15      F                  94
 89 GARIBALDI      1    16      F                  84
 89 GARIBALDI      1    17      F                  76
144 MASCARENHAS    1    11      F                  31
 66 ITAIPU         1    11      F                 958
 66 ITAIPU         1    12      F                 947
 66 ITAIPU         1    13      F                1011
 66 ITAIPU         1    14      F                1069
 66 ITAIPU         1    15      F                1206
 66 ITAIPU         1    16      F                1313
 66 ITAIPU         1    17      F                1271
110 ERNESTINA      1    11      F                  33
110 ERNESTINA      1    12      F                  68
110 ERNESTINA      1    13      F                 117
110 ERNESTINA      1    14      F                  65
110 ERNESTINA      1    15      F                  46
110 ERNESTINA      1    16      F                  41
110 ERNESTINA      1    17      F                  78
111 PASSO REAL     1    11      F                 261
111 PASSO REAL     1    12      F                 367
111 PASSO REAL     1    13      F                 460
111 PASSO REAL     1    14      F                 392
111 PASSO REAL     1    15      F                 335
111 PASSO REAL     1    16      F                 338
111 PASSO REAL     1    17      F                 504
112 JACUI          1    11      F                   2
112 JACUI          1    12      F                   4
112 JACUI          1    13      F                   7
112 JACUI          1    14      F                   5
112 JACUI          1    15      F                   4
112 JACUI          1    17      F                   9
113 ITAUBA         1    11      F                  34
113 ITAUBA         1    12      F                  88
113 ITAUBA         1    13      F                 158
113 ITAUBA         1    14      F                 125
113 ITAUBA         1    15      F                  83
113 ITAUBA         1    16      F                  85
113 ITAUBA         1    17      F                 203
114 D. FRANCISCA   1    11      F                  38
114 D. FRANCISCA   1    12      F                  98
114 D. FRANCISCA   1    13      F                 176
114 D. FRANCISCA   1    14      F                 139
114 D. FRANCISCA   1    15      F                  92
114 D. FRANCISCA   1    16      F                  95
114 D. FRANCISCA   1    17      F                 226
 74 G.B. MUNHOZ    1    11      F                 708
 74 G.B. MUNHOZ    1    12      F                 698
 74 G.B. MUNHOZ    1    13      F                 822
 74 G.B. MUNHOZ    1    14      F                 942
 74 G.B. MUNHOZ    1    15      F                 885
 74 G.B. MUNHOZ    1    16      F                 819
 74 G.B. MUNHOZ    1    17      F                 778
 76 SEGREDO        1    11      F                 125
 76 SEGREDO        1    12      F                 239
 76 SEGREDO        1    13      F                 287
 76 SEGREDO        1    14      F                 215
 76 SEGREDO        1    15      F                 173
 76 SEGREDO        1    16      F                 157
 76 SEGREDO        1    17      F                 238
 82 SALTO CAXIAS   1    11      F                 286
 82 SALTO CAXIAS   1    12      F                 381
 82 SALTO CAXIAS   1    13      F                 543
 82 SALTO CAXIAS   1    14      F                 481
 82 SALTO CAXIAS   1    15      F                 420
 82 SALTO CAXIAS   1    16      F                 374
 82 SALTO CAXIAS   1    17      F                 422
 83 BAIXO IGUACU   1    11      F                 115
 83 BAIXO IGUACU   1    12      F                 152
 83 BAIXO IGUACU   1    13      F                 217
 83 BAIXO IGUACU   1    14      F                 192
 83 BAIXO IGUACU   1    15      F                 168
 83 BAIXO IGUACU   1    16      F                 150
 83 BAIXO IGUACU   1    17      F                 169
115 G.P. SOUZA     1    11      F                  18
115 G.P. SOUZA     1    13      F                  22
115 G.P. SOUZA     1    14      F                  18
115 G.P. SOUZA     1    15      F                  13
115 G.P. SOUZA     1    16      F                  11
 73 JORDAO         1    11      F                  24
 73 JORDAO         1    12      F                  47
 73 JORDAO         1    13      F                  56
 73 JORDAO         1    14      F                  42
 73 JORDAO         1    15      F                  34
 73 JORDAO         1    16      F                  31
 73 JORDAO         1    17      F                  47
 71 STA CLARA PR   1    11      F                  71
 71 STA CLARA PR   1    12      F                  75
 71 STA CLARA PR   1    13      F                 128
 71 STA CLARA PR   1    14      F                 129
