-----;----;-----;-----------;------;----;-----------------;---------;-----------------;----------;------------;-------------;------------------------------;
IPER ;TIPO;CONTR; NomeContr ;Barra ;Sist; Inflexibilidade ;CustContr;     Geracao     ;   CMO    ;    CMB     ;ORD.MER.TOTAL;          Titulacao           ;
  -  ; -  ;  -  ;     -     ;  -   ; -  ;       MW        ;  (MW)   ;       MW        ; (R$/MWh) ;  (R$/MWh)  ;      -      ;              -               ;
-----;----;-----;-----------;------;----;-----------------;---------;-----------------;----------;------------;-------------;------------------------------;
  33 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   291.48 ;     286.23 ;     MAX     ; Ordem de merito              ;
  34 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   302.50 ;     297.93 ;             ; Inflexibilidade              ;
  34 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   302.50 ;     297.93 ;     MAX     ; Ordem de merito              ;
  35 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   313.50 ;     309.57 ;             ; Inflexibilidade              ;
  35 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   313.50 ;     309.57 ;     MAX     ; Ordem de merito              ;
  36 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   321.79 ;     318.33 ;             ; Inflexibilidade              ;
  36 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   321.79 ;     318.33 ;     MAX     ; Ordem de merito              ;
  37 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   331.05 ;     328.34 ;             ; Inflexibilidade              ;
  37 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   331.05 ;     328.34 ;     MAX     ; Ordem de merito              ;
  38 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   331.03 ;     328.56 ;             ; Inflexibilidade              ;
  38 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   331.03 ;     328.56 ;     MAX     ; Ordem de merito              ;
  39 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   326.17 ;     323.03 ;             ; Inflexibilidade              ;
  39 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   326.17 ;     323.03 ;     MAX     ; Ordem de merito              ;
  40 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   322.12 ;     319.27 ;             ; Inflexibilidade              ;
  40 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   322.12 ;     319.27 ;     MAX     ; Ordem de merito              ;
  41 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   319.67 ;     315.95 ;             ; Inflexibilidade              ;
  41 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   319.67 ;     315.95 ;     MAX     ; Ordem de merito              ;
  42 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   316.28 ;     312.34 ;             ; Inflexibilidade              ;
  42 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   316.28 ;     312.34 ;     MAX     ; Ordem de merito              ;
  43 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   314.29 ;     310.22 ;             ; Inflexibilidade              ;
  43 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   314.29 ;     310.22 ;     MAX     ; Ordem de merito              ;
  44 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   310.61 ;     306.28 ;             ; Inflexibilidade              ;
  44 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   310.61 ;     306.28 ;     MAX     ; Ordem de merito              ;
  45 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   309.86 ;     305.53 ;             ; Inflexibilidade              ;
  45 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   309.86 ;     305.53 ;     MAX     ; Ordem de merito              ;
  46 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   308.84 ;     304.49 ;             ; Inflexibilidade              ;
  46 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   308.84 ;     304.49 ;     MAX     ; Ordem de merito              ;
  47 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   306.90 ;     302.49 ;             ; Inflexibilidade              ;
  47 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   306.90 ;     302.49 ;     MAX     ; Ordem de merito              ;
