***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ;  4 ; NE ;      0.00 ;      0.00 ;      0.00 ;      42.27 ;  D  ;   2001.08 ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ; 99 ; NE ;      0.00 ;      0.00 ;      0.00 ;     169.08 ;  -  ;           ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  1 ; NE ;      0.00 ;      0.00 ;     71.92 ;      71.92 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  2 ; NE ;      0.00 ;      0.00 ;     71.92 ;      71.92 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  3 ; NE ;      0.00 ;      0.00 ;     71.92 ;      71.92 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  4 ; NE ;      0.00 ;      0.00 ;     64.48 ;      64.48 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  5 ; NE ;      0.00 ;      0.00 ;     64.48 ;      64.48 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  6 ; NE ;      0.00 ;      0.00 ;     64.48 ;      64.48 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  7 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  8 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ;  9 ; NE ;      0.00 ;      0.00 ;     96.72 ;      96.72 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ; 10 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ; 11 ; NE ;      0.00 ;      0.00 ;    136.40 ;     136.40 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 53 ;GLOBAL I     ; 99 ; NE ;      0.00 ;      0.00 ;    137.00 ;     954.80 ;  -  ;           ;
  1 ;  LEVE ; 54 ;JUIZ DE FORA ;  1 ; SE ;      0.00 ;      0.00 ;     43.94 ;      43.94 ;  L  ;   1171.19 ;
  1 ;  LEVE ; 54 ;JUIZ DE FORA ;  2 ; SE ;      0.00 ;      0.00 ;     43.11 ;      43.11 ;  L  ;   1171.19 ;
  1 ;  LEVE ; 54 ;JUIZ DE FORA ; 99 ; SE ;      0.00 ;      0.00 ;     84.00 ;      87.05 ;  -  ;           ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  1 ; NE ;      0.00 ;      0.00 ;     71.92 ;      71.92 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  2 ; NE ;      0.00 ;      0.00 ;     71.92 ;      71.92 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  3 ; NE ;      0.00 ;      0.00 ;     71.92 ;      71.92 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  4 ; NE ;      0.00 ;      0.00 ;     64.48 ;      64.48 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  5 ; NE ;      0.00 ;      0.00 ;     64.48 ;      64.48 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  6 ; NE ;      0.00 ;      0.00 ;     64.48 ;      64.48 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  7 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  8 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ;  9 ; NE ;      0.00 ;      0.00 ;     96.72 ;      96.72 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ; 10 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ; 11 ; NE ;      0.00 ;      0.00 ;    136.40 ;     136.40 ;  L  ;   1220.09 ;
  1 ;  LEVE ; 55 ;GLOBAL II    ; 99 ; NE ;      0.00 ;      0.00 ;    137.00 ;     954.80 ;  -  ;           ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  1 ; NE ;      0.00 ;      0.00 ;      0.00 ;      20.37 ;  D  ;      0.00 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  2 ; NE ;      0.00 ;      0.00 ;      0.00 ;      20.37 ;  D  ;      0.00 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  3 ; NE ;      0.00 ;      0.00 ;      0.00 ;      20.37 ;  D  ;      0.00 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  4 ; NE ;      0.00 ;      0.00 ;      0.00 ;      20.37 ;  D  ;      0.00 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  5 ; NE ;      0.00 ;      0.00 ;      0.00 ;      20.37 ;  D  ;      0.00 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  6 ; NE ;      0.00 ;      0.00 ;      0.00 ;      20.37 ;  D  ;      0.00 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  7 ; NE ;      0.00 ;      0.00 ;      0.00 ;      20.37 ;  D  ;      0.00 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ;  8 ; NE ;      0.00 ;      0.00 ;      0.00 ;      20.37 ;  D  ;      0.00 ;
  1 ;  LEVE ; 57 ;MARACANAU I  ; 99 ; NE ;      0.00 ;      0.00 ;      0.00 ;     162.96 ;  -  ;           ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ;  1 ; NE ;      0.00 ;      0.00 ;     55.00 ;      55.00 ;  L  ;   2214.27 ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ;  2 ; NE ;      0.00 ;      0.00 ;    110.00 ;     110.00 ;  L  ;   2214.27 ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ;  3 ; NE ;      0.00 ;      0.00 ;    165.00 ;     165.00 ;  L  ;   2214.27 ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ;  4 ; NE ;      0.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;   2214.27 ;
  1 ;  LEVE ; 58 ;TERMOCEARA   ; 99 ; NE ;      0.00 ;      0.00 ;    200.00 ;     550.00 ;  -  ;           ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  1 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;    976.02 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  2 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;    976.02 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  3 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;    976.02 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  4 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;    976.02 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  5 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;    976.02 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  6 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;    976.02 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ;  7 ; SE ;      0.00 ;      0.00 ;    826.78 ;     826.78 ;  L  ;    976.02 ;
  1 ;  LEVE ; 60 ;NORTEFLU     ; 99 ; SE ;      0.00 ;      0.00 ;    826.00 ;    3136.78 ;  -  ;           ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  1 ; SE ;      0.00 ;      0.00 ;     45.00 ;      45.00 ;  L  ;   1161.35 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  2 ; SE ;      0.00 ;      0.00 ;     90.00 ;      90.00 ;  L  ;   1161.35 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  3 ; SE ;      0.00 ;      0.00 ;    135.00 ;     135.00 ;  L  ;   1161.35 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  4 ; SE ;      0.00 ;      0.00 ;    180.00 ;     180.00 ;  L  ;   1161.35 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  5 ; SE ;      0.00 ;      0.00 ;    225.00 ;     225.00 ;  L  ;   1161.35 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  6 ; SE ;      0.00 ;      0.00 ;    270.00 ;     270.00 ;  L  ;   1161.35 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  7 ; SE ;      0.00 ;      0.00 ;    315.00 ;     315.00 ;  L  ;   1161.35 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ;  8 ; SE ;      0.00 ;      0.00 ;    360.00 ;     360.00 ;  L  ;   1161.35 ;
  1 ;  LEVE ; 62 ;SEROPEDICA   ; 99 ; SE ;      0.00 ;      0.00 ;    360.00 ;    1620.00 ;  -  ;           ;
  1 ;  LEVE ; 63 ;IBIRITE      ;  1 ; SE ;      0.00 ;      0.00 ;    226.00 ;     226.00 ;  L  ;    942.64 ;
  1 ;  LEVE ; 63 ;IBIRITE      ; 99 ; SE ;      0.00 ;      0.00 ;    226.00 ;     226.00 ;  -  ;           ;
  1 ;  LEVE ; 64 ;CANOAS       ;  1 ; S  ;      0.00 ;      0.00 ;    248.57 ;     248.57 ;  L  ;   1371.46 ;
  1 ;  LEVE ; 64 ;CANOAS       ; 99 ; S  ;      0.00 ;      0.00 ;    248.57 ;     248.57 ;  -  ;           ;
