NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
122 SANTA BRANCA   1    04      F                   5
124 LAJES          1    04      F                   2
130 ILHA POMBOS    1    04      F                  15
185 BARRA BRAUNA   1    04      F                  38
185 BARRA BRAUNA   1    06      F                  37
131 NILO PECANHA   1    04      F                   0
133 P. PASSOS      1    04      F                   0
125 STA CECILIA    1    04      F                  17
125 STA CECILIA    1    05      F                  16
180 TOCOS          1    04      F                   3
181 SANTANA        1    04      F                   2
182 VIGARIO        1    04      F                   0
147 FONTES AB      1    04      F                   0
146 FONTES C       1    04      F                   0
107 EDGARD SOUZA   1    04      F                  19
107 EDGARD SOUZA   1    07      F                  18
107 EDGARD SOUZA   1    08      F                  21
107 EDGARD SOUZA   1    09      F                  22
107 EDGARD SOUZA   1    10      F                  21
108 TRAICAO        1    04      F                   0
109 PEDREIRA       1    04      F                   0
117 GUARAPIRANGA   1    04      F                   3
117 GUARAPIRANGA   1    08      F                   4
118 BILLINGS       1    04      F                   4
118 BILLINGS       1    09      F                   5
118 BILLINGS       1    10      F                   4
119 HENRY BORDEN   1    04      F                   0
 32 CACH.DOURADA   1    04      F                  22
 32 CACH.DOURADA   1    06      F                  21
 32 CACH.DOURADA   1    08      F                  20
 11 VOLTA GRANDE   1    04      F                  20
 11 VOLTA GRANDE   1    05      F                  19
 11 VOLTA GRANDE   1    07      F                  18
 11 VOLTA GRANDE   1    09      F                  17
135 P. ESTRELA     1    04      F                   0
139 CANDONGA       1    04      F                  42
139 CANDONGA       1    06      F                  41
262 SALTO          1    04      F                  61
262 SALTO          1    05      F                  60
262 SALTO          1    06      F                  59
262 SALTO          1    09      F                  58
 88 SAO ROQUE      1    04      F                 449
 88 SAO ROQUE      1    05      F                 507
 88 SAO ROQUE      1    06      F                 528
 88 SAO ROQUE      1    07      F                 493
 88 SAO ROQUE      1    08      F                 543
 88 SAO ROQUE      1    09      F                 648
 88 SAO ROQUE      1    10      F                 674
 89 GARIBALDI      1    04      F                  99
 89 GARIBALDI      1    05      F                 112
 89 GARIBALDI      1    06      F                 117
 89 GARIBALDI      1    07      F                 109
 89 GARIBALDI      1    08      F                 120
 89 GARIBALDI      1    09      F                 144
 89 GARIBALDI      1    10      F                 149
144 MASCARENHAS    1    04      F                  34
144 MASCARENHAS    1    09      F                  33
 66 ITAIPU         1    04      F                1149
 66 ITAIPU         1    05      F                1108
 66 ITAIPU         1    06      F                1064
 66 ITAIPU         1    07      F                1023
 66 ITAIPU         1    08      F                 988
 66 ITAIPU         1    09      F                 966
 66 ITAIPU         1    10      F                 970
110 ERNESTINA      1    04      F                  78
110 ERNESTINA      1    05      F                  54
110 ERNESTINA      1    06      F                  48
110 ERNESTINA      1    07      F                  60
110 ERNESTINA      1    08      F                  48
110 ERNESTINA      1    09      F                  46
110 ERNESTINA      1    10      F                  48
111 PASSO REAL     1    04      F                 463
111 PASSO REAL     1    05      F                 413
111 PASSO REAL     1    06      F                 407
111 PASSO REAL     1    07      F                 402
111 PASSO REAL     1    08      F                 350
111 PASSO REAL     1    09      F                 319
111 PASSO REAL     1    10      F                 321
112 JACUI          1    04      F                   9
112 JACUI          1    05      F                   8
112 JACUI          1    07      F                   9
112 JACUI          1    08      F                   7
112 JACUI          1    09      F                   5
113 ITAUBA         1    04      F                 206
113 ITAUBA         1    05      F                 186
113 ITAUBA         1    06      F                 193
113 ITAUBA         1    07      F                 216
113 ITAUBA         1    08      F                 162
113 ITAUBA         1    09      F                 111
113 ITAUBA         1    10      F                 108
114 D. FRANCISCA   1    04      F                 229
114 D. FRANCISCA   1    05      F                 207
114 D. FRANCISCA   1    06      F                 214
